[Test 4 : No action (2,000)]
2021-01-08 03:36:44,748 : R << 8=FIX.4.2 9=240 35=8 34=27 49=VTUAT 52=20210107-19:36:45.187 56=TWUAT 6=4.015 11=1610048200331 14=100 15=USD 17=3228306 20=0 31=4.015 32=100 37=BV12437728 38=2644 39=1 40=1 54=1 55=NOK 58=PARTIAL 59=0 60=20210107-19:36:28.107 76=GNSS 150=1 151=2544 167=CS 10=086
2021-01-08 03:36:44,750 : R << 8=FIX.4.2 9=240 35=8 34=28 49=VTUAT 52=20210107-19:36:45.189 56=TWUAT 6=4.015 11=1610048200331 14=200 15=USD 17=3228307 20=0 31=4.015 32=100 37=BV12437728 38=2644 39=1 40=1 54=1 55=NOK 58=PARTIAL 59=0 60=20210107-19:36:28.107 76=GNSS 150=1 151=2444 167=CS 10=090
2021-01-08 03:36:44,753 : R << 8=FIX.4.2 9=240 35=8 34=29 49=VTUAT 52=20210107-19:36:45.192 56=TWUAT 6=4.015 11=1610048200331 14=300 15=USD 17=3228308 20=0 31=4.015 32=100 37=BV12437728 38=2644 39=1 40=1 54=1 55=NOK 58=PARTIAL 59=0 60=20210107-19:36:28.107 76=GNSS 150=1 151=2344 167=CS 10=086
2021-01-08 03:36:44,754 : R << 8=FIX.4.2 9=237 35=8 34=30 49=VTUAT 52=20210107-19:36:45.194 56=TWUAT 6=4.015 11=1610048200331 14=200 15=USD 17=3228309 19=3228308 20=1 31=0 32=0 37=BV12437728 38=2644 39=1 40=1 54=1 55=NOK 58=PARTIAL 59=0 60=20210107-19:36:28.107 150=1 151=2444 167=CS 10=091
2021-01-08 03:36:44,755 : R << 8=FIX.4.2 9=237 35=8 34=31 49=VTUAT 52=20210107-19:36:45.196 56=TWUAT 6=4.015 11=1610048200331 14=100 15=USD 17=3228310 19=3228307 20=1 31=0 32=0 37=BV12437728 38=2644 39=1 40=1 54=1 55=NOK 58=PARTIAL 59=0 60=20210107-19:36:28.137 150=1 151=2544 167=CS 10=088
2021-01-08 03:36:44,756 : R << 8=FIX.4.2 9=231 35=8 34=32 49=VTUAT 52=20210107-19:36:45.198 56=TWUAT 6=4.015 11=1610048200331 14=0 15=USD 17=3228311 19=3228306 20=1 31=0 32=0 37=BV12437728 38=2644 39=0 40=1 54=1 55=NOK 58=NEW 59=0 60=20210107-19:36:28.140 150=0 151=2644 167=CS 10=202

[Test 13 : Partial, Fill, Fill correct (2,645)]
2021-01-08 03:39:31,516 : S >> 8=FIX.4.2 9=142 35=D 34=23 49=TWUAT 52=20210107-19:39:31.000 56=VTUAT 1=TRYIKANG 11=1610048371515 21=1 38=2645 40=1 54=1 55=NOK 59=0 60=20210107-19:39:31.516 10=180
2021-01-08 03:39:33,843 : R << 8=FIX.4.2 9=224 35=8 34=38 49=VTUAT 52=20210107-19:39:34.290 56=TWUAT 6=0 11=1610048371515 14=0 15=USD 17=3228312 20=0 31=0 32=0 37=BV12437737 38=2645 39=A 40=1 54=1 55=NOK 58=PENDING NEW 59=0 60=20210107-19:39:18.837 150=A 151=2645 167=CS 10=089
2021-01-08 03:39:35,909 : R << 8=FIX.4.2 9=221 35=8 34=39 49=VTUAT 52=20210107-19:39:36.355 56=TWUAT 6=0 11=1610048371515 14=0 15=USD 17=3228314 20=0 31=0 32=0 37=BV12437737 38=2645 39=0 40=1 54=1 55=NOK 58=ACCEPTED 59=0 60=20210107-19:39:19.293 150=0 151=2645 167=CS 10=098
2021-01-08 03:39:35,910 : R << 8=FIX.4.2 9=242 35=8 34=40 49=VTUAT 52=20210107-19:39:36.357 56=TWUAT 6=4.015 11=1610048371515 14=1000 15=USD 17=3228315 20=0 31=4.015 32=1000 37=BV12437737 38=2645 39=1 40=1 54=1 55=NOK 58=PARTIAL 59=0 60=20210107-19:39:19.297 76=GNSS 150=1 151=1645 167=CS 10=209
2021-01-08 03:39:35,914 : R << 8=FIX.4.2 9=238 35=8 34=41 49=VTUAT 52=20210107-19:39:36.360 56=TWUAT 6=4.015 11=1610048371515 14=2645 15=USD 17=3228316 20=0 31=4.015 32=1645 37=BV12437737 38=2645 39=2 40=1 54=1 55=NOK 58=FILLED 59=0 60=20210107-19:39:19.313 76=GNSS 150=2 151=0 167=CS 10=235
2021-01-08 03:39:35,917 : R << 8=FIX.4.2 9=241 35=8 34=42 49=VTUAT 52=20210107-19:39:36.362 56=TWUAT 6=4.015 11=1610048371515 14=2645 15=USD 17=3228317 19=3228316 20=2 31=4.015 32=1645 37=BV12437737 38=2645 39=2 40=1 54=1 55=NOK 58=FILLED 59=0 60=20210107-19:39:19.313 150=2 151=0 167=CS 10=022

[Test 14 : Fill cancel, correct (2,650)]
2021-01-08 03:43:23,845 : S >> 8=FIX.4.2 9=141 35=D 34=2 49=TWUAT 52=20210107-19:43:23.000 56=VTUAT 1=TRYIKANG 11=1610048603844 21=1 38=2650 40=1 54=1 55=NOK 59=0 60=20210107-19:43:23.845 10=124
2021-01-08 03:43:26,134 : R << 8=FIX.4.2 9=223 35=8 34=2 49=VTUAT 52=20210107-19:43:26.581 56=TWUAT 6=0 11=1610048603844 14=0 15=USD 17=3228326 20=0 31=0 32=0 37=BV12437759 38=2650 39=A 40=1 54=1 55=NOK 58=PENDING NEW 59=0 60=20210107-19:43:11.140 150=A 151=2650 167=CS 10=009
